,Refdate,Id_ShareMov,Id_Shareholder,Id_Entity,Id_Product,Id_PFeeType,Id_RiskFactorBenchmark,Td_Price,Td_Value,Quote_Date,Open_ShareValue,EffQuote_Date,Subscription_Amount,Subscription_Shares,Td_OpenShares,Td_RedempShares,Td_CloseShares,Td_CloseAmount,PFee_DateBase,PFee_ShareValue,RiskFactor_Appreciation,PFee_ShareBaseBenchmark,PFeeBenchmark_Amount,Td_Performance,Closed
34,2020-02-26,204,17,3,2335,1.0,458.0,4248.8867457,4248.8867457,2019-04-15,3725.8435059,2019-04-15,2000000.0,536.7912,536.7912,,536.7912,2280765.01,2019-04-15,3725.8435059,1.0477241,3903.6560098,,,
35,2020-02-26,205,55,3,2335,1.0,458.0,4248.8867457,4248.8867457,2019-04-15,3725.8435059,2019-04-15,25000.0,6.70989,6.61394,,6.61394,28101.88,2019-04-15,3725.8435059,1.0477241,3903.6560098,,,
36,2020-02-26,206,54,3,2335,1.0,458.0,4248.8867457,4248.8867457,2019-04-15,3725.8435059,2019-04-15,25000.0,6.70989,6.61593,,6.61593,28110.34,2019-04-15,3725.8435059,1.0477241,3903.6560098,,,
37,2020-02-26,296,62,3,2335,1.0,458.0,4248.8867457,4248.8867457,2019-05-28,3758.5092773,2019-05-28,70000.0,18.62441,18.39246,,18.39246,78147.48,2019-05-28,3758.5092773,1.0402711,3909.8686112,,,
38,2020-02-26,221,17,3,2335,1.0,458.0,4248.8867457,4248.8867457,2019-05-20,3755.8449707,2019-05-20,200000.0,53.25033,53.25033,,53.25033,226254.62,2019-06-28,3857.4285174,1.0346525,3991.0981915,,,
39,2020-02-26,217,55,3,2335,1.0,458.0,4248.8867457,4248.8867457,2019-05-13,3753.6140137,2019-05-13,50000.0,13.3205,13.1547,,13.1547,55892.83,2019-05-13,3753.6140137,1.0430918,3915.3641581,,,
40,2020-02-26,222,61,3,2335,1.0,458.0,4248.8867457,4248.8867457,2019-05-22,3761.1240234,2019-05-22,44000.0,11.69863,11.55338,,11.55338,49089.0,2019-05-22,3761.1240234,1.0412959,3916.4432028,,,
41,2020-02-26,223,60,3,2335,1.0,458.0,4248.8867457,4248.8867457,2019-05-22,3761.1240234,2019-05-22,25000.0,6.64695,6.56442,,6.56442,27891.48,2019-05-22,3761.1240234,1.0412959,3916.4432028,,,
42,2020-02-26,346,66,3,2335,1.0,458.0,4248.8867457,4248.8867457,2019-06-12,3799.6853027,2019-06-12,132176.91,34.78628,34.40344,,34.40344,146176.32,2019-06-12,3799.6853027,1.037458,3942.0139311,,,
43,2020-02-26,347,67,3,2335,1.0,458.0,4248.8867457,4248.8867457,2019-06-12,3799.6853027,2019-06-12,93618.27,24.63843,24.36727,,24.36727,103533.77,2019-06-12,3799.6853027,1.037458,3942.0139311,,,
44,2020-02-26,349,66,3,2335,1.0,458.0,4248.8867457,4248.8867457,2019-06-14,3817.407959,2019-06-14,5161.85,1.35219,1.33818,,1.33818,5685.78,2019-06-14,3817.407959,1.0369473,3958.451058,,,
